path,sql,id,description
Func/config/lifecycles/ARP_BO_REG_REQUEST_LC/ARP_BO_REG_REQUEST_LC.lc,not fields.LS is null,formationGroupStrings,Оставляем уникальные ЛС
Func/config/lifecycles/ARP_BO_REG_REQUEST_LC/ARP_BO_REG_REQUEST_LC.lc,fields.DOCNAME is null,concatTableFieldByFilter,Заполняем наименование документа
Func/config/lifecycles/ARP_BO_REG_REQUEST_LC/ARP_BO_REG_REQUEST_LC.lc,fields.DOCTYPE is null,concatTableFieldByFilter,Заполняем тип документа
Func/config/lifecycles/ARP_FAH_CLOSING_YEAR_LC/ARP_FAH_CLOSING_YEAR_LC.lc,fields.DOC.P_TOFK = #{P_TOFK} and fields.DOC.P_BUDGET_LEVEL_CODE = #{P_BUDGET_LEVEL_CODE} and (fields.DOC.P_BUDGET_CODE = 'Все' OR fields.DOC.P_BUDGET_CODE = #{P_BUDGET_CODE}) and fields.DOC.FIN_YEAR_TEXT = #{FIN_YEAR_TEXT} and fields.DOC.INSTCD = #{INSTCD} and fields.DOC.P_PROCESS_TYPE = 'E' and fields.DOC.P_SBP_TYPE_NM = #{P_SBP_TYPE_NM} and fields.DOC.P_SBP_TYPE_CD = #{P_SBP_TYPE_CD} and fields.DOC.P_RUN_TYPE_CD = '2' and docState.systemName = 'Formed',FillFromOtherDoc,ЗГ: Ищем гуид УП
Func/config/lifecycles/ARP_FAH_DELETE_LC/ARP_FAH_DELETE_LC.lc,fields.DICT.ORGCODE = #{T_INSTCD},fill_CurrentUserTofk,Выбор документов с фильтром
Func/config/lifecycles/ARP_FAH_MIGRATION_LC/ARP_FAH_MIGRATION_LC.lc,fields.DICT.STARTDATEACTIVE < #{currentDate} and (  fields.DICT.ENDDATEACTIVE >= #{currentDate} or fields.DICT.ENDDATEACTIVE is null ) and fields.DICT.CODE = #{tofkCode},fillCurrentDoc,Определяем ИНН субъекта учета из справочника ТОФК
Func/config/lifecycles/ARP_FAH_MIGRATION_LC/ARP_FAH_MIGRATION_LC.lc,fields.DICT.STARTDATEACTIVE < #{currentDate} and (  fields.DICT.ENDDATEACTIVE >= #{currentDate} or fields.DICT.ENDDATEACTIVE is null ) and fields.DICT.SELFORFKCODE = #{tofkCode} and fields.DICT.ORGINN = #{DOC.TOFK_INN},fillCurrentDoc,"Определяем Код организации,ОКПО,КПП,Полное наименование Субъекта учета из справочника Сводный реестр"
Func/config/lifecycles/ARP_FAH_MIGRATION_LC/ARP_FAH_MIGRATION_LC.lc,fields.DICT.CODE = #{P_BUDGET_CODE} and (fields.DICT.STARTDATEACTIVE < #{currentDate} and  (fields.DICT.ENDDATEACTIVE  >= #{currentDate} or fields.DICT.ENDDATEACTIVE is null)),fillCurrentDoc,Заполняем Наименование бюджета из справочника Перечень бюджетов по коду бюджета из поля.
Func/config/lifecycles/ARP_FAH_MIGRATION_LC/ARP_FAH_MIGRATION_LC.lc,fields.DICT.CODE = #{P_BUDGET_CODE} and (fields.DICT.STARTDATEACTIVE < #{currentDate} and  (fields.DICT.ENDDATEACTIVE  >= #{currentDate} or fields.DICT.ENDDATEACTIVE is null)),fillCurrentDoc,Заполняем тип бюджета из справочника Перечень бюджетов по коду бюджета из поля.
Func/config/lifecycles/ARP_FAH_MIGRATION_LC/ARP_FAH_MIGRATION_LC.lc,fields.DICT.STARTDATEACTIVE < #{currentDate} and (  fields.DICT.ENDDATEACTIVE >= #{currentDate} or fields.DICT.ENDDATEACTIVE is null ) and fields.DICT.CODE = #{tofkCode},fillCurrentDoc,Определяем ИНН субъекта учета из справочника ТОФК
